serial,english,part_of_speech,meaning,phonetics,banjara_english
2473,whirlwind,noun,,aṅgoḷō,angolo
2474,whisk,verb,,jhaḍ kār,jhad kaar
2475,whisper,noun,,ghūm̐s ghūm ̐s,ghums ghum s
2476,whistle,noun,,sīṇṭi,sinti
2477,white,adjective,,dhvāḷō,dhvaalo
2478,whiteness,adjective,,dhvāḷō,dhvaalo
2479,who pro,noun,,kūṇ,kun
2480,whore,verb,,kacnī,kachni
2481,whose one is this,unknown,,kēr,ker
2482,why ad,verb,,kassēnam ̐,kassenam 
2483,ad,verb,,kām̐yikanam ̐,kaamyikanam 
2484,wick,noun,,gām,gaam
2485,widow,noun,,rāṇḍ,raand
2486,wife,noun,,gvāṇṇi,gvaanni
2487,will,noun,,vīlunāmā,vilunaamaa
2488,will be there,verb,,racam ̐,racham 
2489,willing,verb,,sammat,sammat
2490,win,verb,,jītēro,jitero
2491,window,noun,,kiḍiki,kidiki
2492,wing,noun,,poṅkoḍa,ponkoda
2493,winnow grain,unknown,,varāḍēr,varaader
2494,winter,noun,,śim̐yāḷō,shimyaalo
2495,wish,verb,,māṅgēr,maanger
2496,with ad,verb,,lāram̐,laaram
2497,with carelessness,unknown,,aṭakḷēti chēnijako,atakleti chhenijako
2498,with discipline,unknown,,malājēti,malaajeti
2499,with hunger,unknown,,bhūkēti,bhuketi
2500,with interest,unknown,,haṭ,hat
2501,with this pro,noun,,yēti,yeti
2502,withdrawal,noun,,hāṭolēr,haatoler
2503,within,verb,,māyij,maayij
2504,without any reason,noun,,నకామ్,నకామ్
2505,without any similarity,unknown,,bhēdchēniju,bhedchheniju
2506,without any worry,unknown,,banā randi,banaa randi
2507,without movement,noun,,halēnijūm ̐,halenijum 
2508,without that ad,verb,,kōni,koni
2509,witness,noun,,gavāyi,gavaayi
2510,wizard,noun,,bhakat,bhakat
2511,wolf,noun,,bhēḍiyā,bhediyaa
2512,woo,verb,,lāḍ karā,laad karaa
2513,wood basin with lot of,noun,,kākoṭi,kaakoti
2514,wood cutter,unknown,,rampyā,rampyaa
2515,wooden box,noun,,cekkār sanduk,chekkaar sanduk
2516,wooden peg,noun,,khilli,khilli
2517,wooden post,unknown,,khūṇṭā,khuntaa
2518,wool,noun,,ūn,un
2519,word,noun,,vājā,vaajaa
2520,work,noun,,kām,kaam
2521,worker,noun,,bām̐yām̐,baamyaam
2522,working person,noun,,bām̐yām̐,baamyaam
2523,works,noun,,racana,rachana
2524,world,noun,,jagat,jagat
2525,worn,adjective,,pyārajakaṇō,pyaarajakano
2526,worry ad,verb,,kaṭāḷo,kataalo
2527,worth,noun,,tāhat,taahat
2528,wound,noun,,ghāv,ghaav
2529,wound from burns,noun,,aṅgārēr ghāv,angaarer ghaav
2530,wreck,verb,,phōḍ,phod
2531,wretch,noun,,banāgatēro,banaagatero
2532,wrist,noun,,mukki,mukki
2533,writing,unknown,,lakaṇi,lakani
2534,wrong,noun,,kharāp,kharaap
2535,yam,noun,,sakkar gand,sakkar gand
2536,yard,noun,,koṭṭaṁ,kottam
2537,yawn,verb,,bagāyi mār,bagaayi maar
2538,year,noun,,varas,varas
2539,yellow colour,unknown,,piḷoraṅg,pilorang
2540,yes,verb,,hāvam ̐,haavam 
2541,yesterday,noun,,kāl,kaal
2542,yield,noun,,pācōjako pāṇṭā,paachojako paantaa
2543,yoke,noun,,kānni,kaanni
2544,you sg pro,noun,,tūm̐,tum
2545,young lady,noun,,moṭiyār cyāri,motiyaar chyaari
2546,young sprouts,noun,,nāṭ,naat
2547,younger sister of mother,noun,,kāki,kaaki
2548,youngster,noun,,navējavān,navejavaan
2549,yours pro,noun,,tōnam ̐,tonam 
2550,yourself,noun,,tūj,tuj
2551,youth,noun,,navējavān,navejavaan
2552,zeal,noun,,jōr,jor
